in:Window placement,in:Orientation,out:% of Total Area,out:Panel Number_1,out:Panel Number_2,out:Panel Number_3,out:Panel Number_4,img
491,315,0.738889,2,18,10,5,Windowplacement491_Orientation315.png
23,315,0.711111,0,9,4,7,Windowplacement23_Orientation315.png
265,315,0.755556,17,2,19,4,Windowplacement265_Orientation315.png
107,315,0.755556,4,13,6,7,Windowplacement107_Orientation315.png
121,315,0.727778,0,3,4,5,Windowplacement121_Orientation315.png
59,315,0.727778,2,3,5,6,Windowplacement59_Orientation315.png
187,315,0.75,0,10,4,7,Windowplacement187_Orientation315.png
215,315,0.761111,17,10,4,5,Windowplacement215_Orientation315.png
240,315,0.75,17,10,1,3,Windowplacement240_Orientation315.png
317,315,0.783333,17,9,3,19,Windowplacement317_Orientation315.png
32,360,0.472222,9,12,13,14,Windowplacement32_Orientation360.png
394,360,0.466667,16,18,14,6,Windowplacement394_Orientation360.png
389,360,0.483333,3,12,4,15,Windowplacement389_Orientation360.png
361,360,0.45,17,18,19,6,Windowplacement361_Orientation360.png
77,360,0.494444,0,17,19,6,Windowplacement77_Orientation360.png
144,360,0.472222,17,18,11,6,Windowplacement144_Orientation360.png
189,360,0.505556,6,12,14,15,Windowplacement189_Orientation360.png
357,360,0.511111,17,10,13,14,Windowplacement357_Orientation360.png
437,360,0.472222,3,4,14,15,Windowplacement437_Orientation360.png
191,360,0.538889,0,18,6,15,Windowplacement191_Orientation360.png
220,360,0.566667,0,18,12,5,Windowplacement220_Orientation360.png
301,360,0.527778,9,18,13,14,Windowplacement301_Orientation360.png
66,360,0.466667,0,16,18,17,Windowplacement66_Orientation360.png
263,360,0.488889,0,17,6,14,Windowplacement263_Orientation360.png
483,360,0.516667,18,12,4,14,Windowplacement483_Orientation360.png
334,360,0.494444,0,19,12,6,Windowplacement334_Orientation360.png
